    accuracy  precision    recall        f1  train_time  percentage  n_samples
0   0.640987   0.639461  0.739402  0.685810    0.672709           1      88000
1   0.641013   0.639417  0.739696  0.685911    1.387985           2     176000
2   0.641003   0.639155  0.740743  0.686210    2.149384           3     264000
3   0.641254   0.639362  0.740969  0.686426    2.754234           4     352000
4   0.641336   0.639461  0.740915  0.686459    4.094253           5     440000
5   0.641304   0.639266  0.741584  0.686634    7.652433          10     880000
6   0.641480   0.639419  0.741711  0.686777   12.108563          15    1320000
7   0.641312   0.639436  0.740911  0.686444   19.909522          20    1760000
8   0.641244   0.639394  0.740794  0.686369   25.099133          30    2640000
9   0.641275   0.639320  0.741235  0.686515   33.287002          40    3520000
10  0.641284   0.639276  0.741459  0.686586   45.024457          50    4400000
11  0.641302   0.639335  0.741291  0.686549   48.273966          60    5280000
12  0.641308   0.639289  0.741505  0.686614   59.901733          70    6160000
13  0.641303   0.639230  0.741734  0.686678   74.160301          80    7040000
14  0.641309   0.639178  0.741972  0.686750   71.105410          90    7920000
15  0.641349   0.639140  0.742308  0.686871   86.750007         100    8800000
