    accuracy  precision    recall        f1   train_time  percentage  n_samples
0   0.692604   0.701485  0.730992  0.715935   172.543616           1      88000
1   0.722636   0.721828  0.775418  0.747664   310.553878           2     176000
2   0.734765   0.737307  0.775939  0.756130   376.768366           3     264000
3   0.740939   0.751482  0.763688  0.757535   373.874713           4     352000
4   0.748126   0.756639  0.773468  0.764961   611.268038           5     440000
5   0.757013   0.768468  0.774950  0.771695   813.180839          10     880000
6   0.760997   0.764546  0.793288  0.778652   923.663426          15    1320000
7   0.762722   0.758243  0.810731  0.783609  1509.011748          20    1760000
8   0.765636   0.771141  0.793118  0.781975  1342.729640          30    2640000
9   0.766440   0.772721  0.792289  0.782382  2062.198045          40    3520000
10  0.765561   0.765972  0.802910  0.784006  1816.999973          50    4400000
11  0.767170   0.775185  0.789640  0.782346  2777.394443          60    5280000
12  0.767505   0.771644  0.797175  0.784202  4361.067616          70    6160000
13  0.767490   0.777538  0.786166  0.781828  2134.068362          80    7040000
14  0.766795   0.771991  0.794617  0.783140  2552.743914          90    7920000
15  0.768035   0.772354  0.797247  0.784603  3203.965658         100    8800000
