         count      mean       std       min       25%       50%       75%        max
0   11000000.0  0.529920  0.499104  0.000000  0.000000  1.000000  1.000000   1.000000
1   11000000.0  0.991466  0.565378  0.274697  0.590753  0.853371  1.236226  12.098914
2   11000000.0 -0.000008  1.008827 -2.434976 -0.738322 -0.000054  0.738214   2.434868
3   11000000.0 -0.000013  1.006346 -1.742508 -0.871931 -0.000241  0.870994   1.743236
4   11000000.0  0.998536  0.600018  0.000237  0.576816  0.891628  1.293056  15.396821
5   11000000.0  0.000026  1.006326 -1.743944 -0.871208  0.000213  0.871471   1.743257
6   11000000.0  0.990915  0.474975  0.137502  0.678993  0.894819  1.170740   9.940391
7   11000000.0 -0.000020  1.009303 -2.969725 -0.687245 -0.000025  0.687194   2.969674
8   11000000.0  0.000008  1.005901 -1.741237 -0.868096  0.000058  0.868313   1.741454
9   11000000.0  0.999969  1.027808  0.000000  0.000000  1.086538  2.173076   2.173076
10  11000000.0  0.992729  0.499994  0.188981  0.656461  0.890138  1.201875  11.647081
11  11000000.0 -0.000010  1.009331 -2.913090 -0.694472  0.000060  0.694592   2.913210
12  11000000.0 -0.000021  1.006154 -1.742372 -0.870179  0.000351  0.869873   1.743175
13  11000000.0  1.000008  1.049398  0.000000  0.000000  0.000000  2.214872   2.214872
14  11000000.0  0.992259  0.487662  0.263608  0.650853  0.897249  1.221798  14.708989
15  11000000.0  0.000015  1.008747 -2.729663 -0.699808  0.000173  0.700154   2.730009
16  11000000.0  0.000004  1.006305 -1.742069 -0.871134 -0.000752  0.871395   1.742884
17  11000000.0  1.000011  1.193676  0.000000  0.000000  0.000000  2.548224   2.548224
18  11000000.0  0.986109  0.505778  0.365354  0.617767  0.868233  1.220930  12.882567
19  11000000.0 -0.000006  1.007694 -2.497265 -0.714190  0.000372  0.714102   2.498009
20  11000000.0  0.000017  1.006366 -1.742691 -0.871479 -0.000264  0.871605   1.743372
21  11000000.0  1.000000  1.400209  0.000000  0.000000  0.000000  3.101961   3.101961
22  11000000.0  1.034290  0.674635  0.075070  0.790610  0.894930  1.024730  40.192368
23  11000000.0  1.024805  0.380807  0.198676  0.846227  0.950685  1.083493  20.372782
24  11000000.0  1.050554  0.164576  0.083049  0.985752  0.989780  1.020528   7.992739
25  11000000.0  1.009742  0.397445  0.132006  0.767573  0.916511  1.142226  14.262439
26  11000000.0  0.972960  0.525406  0.047862  0.673817  0.873380  1.138439  17.762852
27  11000000.0  1.033036  0.365256  0.295112  0.819396  0.947345  1.140458  11.496522
28  11000000.0  0.959812  0.313338  0.330721  0.770390  0.871970  1.059248   8.374498
